asset_id,actual_generation,expected_generation,performance_percent,performance_rank
A00404,44844.68,46365.89,96.72,1
A00103,66782.3,69178.22,96.54,2
A00102,66692.95,69178.22,96.41,3
A00304,81587.09,84752.0,96.27,4
A00506,60450.53,62817.58,96.23,5
A00202,38639.56,40160.89,96.21,6
A00402,44606.7,46365.89,96.21,7
A00208,38599.28,40160.89,96.11,8
A00204,38598.67,40160.89,96.11,9
A00508,60346.33,62817.58,96.07,10
A00303,81286.22,84752.0,95.91,11
A00504,60230.33,62817.58,95.88,12
A00209,38493.04,40160.89,95.85,13
A00104,66283.71,69178.22,95.82,14
A00302,81205.66,84752.0,95.82,15
A00407,44401.06,46365.89,95.76,16
A00107,66231.65,69178.22,95.74,17
A00306,81096.03,84752.0,95.69,18
A00203,38411.54,40160.89,95.64,19
A00505,60036.47,62817.58,95.57,20
A00105,66099.94,69178.22,95.55,21
A00108,66091.19,69178.22,95.54,22
A00205,38366.3,40160.89,95.53,23
A00507,60010.08,62817.58,95.53,24
A00401,44246.78,46365.89,95.43,25
A00410,44234.04,46365.89,95.4,26
A00409,44224.28,46365.89,95.38,27
A00201,38299.76,40160.89,95.37,28
A00207,38285.84,40160.89,95.33,29
A00307,80778.33,84752.0,95.31,30
A00408,44139.5,46365.89,95.2,31
A00502,59790.32,62817.58,95.18,32
A00301,80653.01,84752.0,95.16,33
A00206,38218.38,40160.89,95.16,34
A00501,59729.79,62817.58,95.08,35
A00210,38180.3,40160.89,95.07,36
A00403,44050.19,46365.89,95.01,37
A00503,59674.3,62817.58,95.0,38
A00308,80503.7,84752.0,94.99,39
A00106,65444.65,69178.22,94.6,40
A00406,43853.49,46365.89,94.58,41
A00305,80156.83,84752.0,94.58,42
A00101,65311.24,69178.22,94.41,43
A00405,43610.67,46365.89,94.06,44
