generation_id,asset_id,site_id,generation_date,energy_mwh,expected_energy_mwh,availability_percent,downtime_hours
G0000001,A00101,S001,2024-01-01,216.03,214.92,100.0,0
G0000002,A00102,S001,2024-01-01,177.69,214.92,83.33,4
G0000003,A00103,S001,2024-01-01,213.53,214.92,100.0,0
G0000004,A00104,S001,2024-01-01,172.45,214.92,100.0,0
G0000005,A00105,S001,2024-01-01,215.65,214.92,100.0,0
G0000006,A00106,S001,2024-01-01,138.99,214.92,100.0,0
G0000007,A00107,S001,2024-01-01,214.8,214.92,100.0,0
G0000008,A00108,S001,2024-01-01,214.33,214.92,100.0,0
G0000009,A00101,S001,2024-01-02,120.91,153.18,100.0,0
G0000010,A00102,S001,2024-01-02,155.0,153.18,100.0,0
G0000011,A00103,S001,2024-01-02,141.21,153.18,100.0,0
G0000012,A00104,S001,2024-01-02,155.01,153.18,100.0,0
G0000013,A00105,S001,2024-01-02,142.86,153.18,100.0,0
G0000014,A00106,S001,2024-01-02,154.01,153.18,100.0,0
G0000015,A00107,S001,2024-01-02,152.64,153.18,100.0,0
G0000016,A00108,S001,2024-01-02,153.9,153.18,100.0,0
G0000017,A00101,S001,2024-01-03,122.66,121.25,100.0,0
G0000018,A00102,S001,2024-01-03,119.58,121.25,100.0,0
G0000019,A00103,S001,2024-01-03,111.77,121.25,91.67,2
G0000020,A00104,S001,2024-01-03,119.59,121.25,100.0,0
G0000021,A00105,S001,2024-01-03,119.77,121.25,100.0,0
G0000022,A00106,S001,2024-01-03,73.9,121.25,91.67,2
G0000023,A00107,S001,2024-01-03,119.33,121.25,100.0,0
G0000024,A00108,S001,2024-01-03,102.11,121.25,83.33,4
G0000025,A00101,S001,2024-01-04,248.49,247.54,100.0,0
G0000026,A00102,S001,2024-01-04,228.21,247.54,100.0,0
G0000027,A00103,S001,2024-01-04,248.31,247.54,100.0,0
G0000028,A00104,S001,2024-01-04,235.4,247.54,95.83,1
G0000029,A00105,S001,2024-01-04,198.47,247.54,100.0,0
G0000030,A00106,S001,2024-01-04,246.5,247.54,100.0,0
G0000031,A00107,S001,2024-01-04,226.51,247.54,100.0,0
G0000032,A00108,S001,2024-01-04,248.62,247.54,100.0,0
G0000033,A00101,S001,2024-01-05,78.18,86.92,100.0,0
G0000034,A00102,S001,2024-01-05,70.38,86.92,100.0,0
G0000035,A00103,S001,2024-01-05,85.56,86.92,100.0,0
G0000036,A00104,S001,2024-01-05,78.34,86.92,100.0,0
G0000037,A00105,S001,2024-01-05,81.69,86.92,100.0,0
G0000038,A00106,S001,2024-01-05,86.47,86.92,100.0,0
G0000039,A00107,S001,2024-01-05,85.32,86.92,100.0,0
G0000040,A00108,S001,2024-01-05,85.08,86.92,100.0,0
G0000041,A00101,S001,2024-01-06,32.26,37.16,100.0,0
G0000042,A00102,S001,2024-01-06,30.16,37.16,100.0,0
G0000043,A00103,S001,2024-01-06,35.65,37.16,100.0,0
G0000044,A00104,S001,2024-01-06,35.41,37.16,100.0,0
G0000045,A00105,S001,2024-01-06,37.69,37.16,100.0,0
G0000046,A00106,S001,2024-01-06,35.17,37.16,100.0,0
G0000047,A00107,S001,2024-01-06,37.83,37.16,100.0,0
G0000048,A00108,S001,2024-01-06,29.9,37.16,100.0,0
G0000049,A00101,S001,2024-01-07,160.74,159.75,100.0,0
G0000050,A00102,S001,2024-01-07,160.38,159.75,100.0,0
G0000051,A00103,S001,2024-01-07,158.29,159.75,100.0,0
G0000052,A00104,S001,2024-01-07,161.07,159.75,100.0,0
G0000053,A00105,S001,2024-01-07,105.23,159.75,66.67,8
G0000054,A00106,S001,2024-01-07,125.95,159.75,100.0,0
G0000055,A00107,S001,2024-01-07,146.24,159.75,100.0,0
G0000056,A00108,S001,2024-01-07,159.65,159.75,100.0,0
G0000057,A00101,S001,2024-01-08,133.02,131.82,100.0,0
G0000058,A00102,S001,2024-01-08,133.65,131.82,100.0,0
G0000059,A00103,S001,2024-01-08,131.29,131.82,100.0,0
G0000060,A00104,S001,2024-01-08,131.52,131.82,100.0,0
G0000061,A00105,S001,2024-01-08,65.09,131.82,50.0,12
G0000062,A00106,S001,2024-01-08,131.61,131.82,100.0,0
G0000063,A00107,S001,2024-01-08,131.61,131.82,100.0,0
G0000064,A00108,S001,2024-01-08,120.58,131.82,91.67,2
G0000065,A00101,S001,2024-01-09,188.8,190.16,100.0,0
G0000066,A00102,S001,2024-01-09,189.91,190.16,100.0,0
G0000067,A00103,S001,2024-01-09,189.61,190.16,100.0,0
G0000068,A00104,S001,2024-01-09,189.96,190.16,100.0,0
G0000069,A00105,S001,2024-01-09,188.71,190.16,100.0,0
G0000070,A00106,S001,2024-01-09,192.0,190.16,100.0,0
G0000071,A00107,S001,2024-01-09,191.81,190.16,100.0,0
G0000072,A00108,S001,2024-01-09,189.02,190.16,100.0,0
G0000073,A00101,S001,2024-01-10,72.96,72.1,100.0,0
G0000074,A00102,S001,2024-01-10,59.63,72.1,100.0,0
G0000075,A00103,S001,2024-01-10,71.27,72.1,100.0,0
G0000076,A00104,S001,2024-01-10,72.91,72.1,100.0,0
G0000077,A00105,S001,2024-01-10,74.05,72.1,100.0,0
G0000078,A00106,S001,2024-01-10,71.55,72.1,100.0,0
G0000079,A00107,S001,2024-01-10,45.39,72.1,100.0,0
G0000080,A00108,S001,2024-01-10,72.97,72.1,100.0,0
G0000081,A00101,S001,2024-01-11,99.93,100.07,100.0,0
G0000082,A00102,S001,2024-01-11,92.27,100.07,100.0,0
G0000083,A00103,S001,2024-01-11,100.08,100.07,100.0,0
G0000084,A00104,S001,2024-01-11,99.29,100.07,100.0,0
G0000085,A00105,S001,2024-01-11,93.52,100.07,91.67,2
G0000086,A00106,S001,2024-01-11,98.86,100.07,100.0,0
G0000087,A00107,S001,2024-01-11,100.53,100.07,100.0,0
G0000088,A00108,S001,2024-01-11,100.39,100.07,100.0,0
G0000089,A00101,S001,2024-01-12,48.64,54.69,100.0,0
G0000090,A00102,S001,2024-01-12,53.54,54.69,100.0,0
G0000091,A00103,S001,2024-01-12,56.25,54.69,100.0,0
G0000092,A00104,S001,2024-01-12,53.67,54.69,100.0,0
G0000093,A00105,S001,2024-01-12,55.45,54.69,100.0,0
G0000094,A00106,S001,2024-01-12,54.06,54.69,100.0,0
G0000095,A00107,S001,2024-01-12,54.37,54.69,95.83,1
G0000096,A00108,S001,2024-01-12,54.75,54.69,100.0,0
G0000097,A00101,S001,2024-01-13,148.22,183.45,100.0,0
G0000098,A00102,S001,2024-01-13,141.9,183.45,83.33,4
G0000099,A00103,S001,2024-01-13,182.09,183.45,100.0,0
G0000100,A00104,S001,2024-01-13,168.77,183.45,100.0,0
G0000101,A00105,S001,2024-01-13,182.42,183.45,100.0,0
G0000102,A00106,S001,2024-01-13,183.84,183.45,100.0,0
G0000103,A00107,S001,2024-01-13,181.49,183.45,100.0,0
G0000104,A00108,S001,2024-01-13,182.92,183.45,100.0,0
G0000105,A00101,S001,2024-01-14,214.99,215.19,100.0,0
G0000106,A00102,S001,2024-01-14,215.63,215.19,100.0,0
G0000107,A00103,S001,2024-01-14,217.14,215.19,100.0,0
G0000108,A00104,S001,2024-01-14,215.6,215.19,100.0,0
G0000109,A00105,S001,2024-01-14,216.04,215.19,100.0,0
G0000110,A00106,S001,2024-01-14,216.76,215.19,100.0,0
G0000111,A00107,S001,2024-01-14,196.83,215.19,91.67,2
G0000112,A00108,S001,2024-01-14,215.22,215.19,100.0,0
G0000113,A00101,S001,2024-01-15,69.63,69.96,100.0,0
G0000114,A00102,S001,2024-01-15,62.2,69.96,95.83,1
G0000115,A00103,S001,2024-01-15,71.85,69.96,100.0,0
G0000116,A00104,S001,2024-01-15,69.88,69.96,100.0,0
G0000117,A00105,S001,2024-01-15,69.48,69.96,100.0,0
G0000118,A00106,S001,2024-01-15,70.76,69.96,100.0,0
G0000119,A00107,S001,2024-01-15,69.61,69.96,100.0,0
G0000120,A00108,S001,2024-01-15,69.85,69.96,100.0,0
G0000121,A00101,S001,2024-01-16,78.44,157.87,50.0,12
G0000122,A00102,S001,2024-01-16,158.06,157.87,100.0,0
G0000123,A00103,S001,2024-01-16,152.51,157.87,95.83,1
G0000124,A00104,S001,2024-01-16,125.41,157.87,100.0,0
G0000125,A00105,S001,2024-01-16,95.15,157.87,91.67,2
G0000126,A00106,S001,2024-01-16,157.79,157.87,100.0,0
G0000127,A00107,S001,2024-01-16,143.87,157.87,91.67,2
G0000128,A00108,S001,2024-01-16,144.82,157.87,100.0,0
G0000129,A00101,S001,2024-01-17,152.11,189.36,100.0,0
G0000130,A00102,S001,2024-01-17,173.3,189.36,100.0,0
G0000131,A00103,S001,2024-01-17,190.33,189.36,100.0,0
G0000132,A00104,S001,2024-01-17,173.12,189.36,100.0,0
G0000133,A00105,S001,2024-01-17,189.25,189.36,100.0,0
G0000134,A00106,S001,2024-01-17,153.4,189.36,100.0,0
G0000135,A00107,S001,2024-01-17,174.12,189.36,100.0,0
G0000136,A00108,S001,2024-01-17,188.51,189.36,100.0,0
G0000137,A00101,S001,2024-01-18,200.89,199.21,100.0,0
G0000138,A00102,S001,2024-01-18,157.51,199.21,100.0,0
G0000139,A00103,S001,2024-01-18,200.2,199.21,100.0,0
G0000140,A00104,S001,2024-01-18,198.4,199.21,100.0,0
G0000141,A00105,S001,2024-01-18,182.42,199.21,91.67,2
G0000142,A00106,S001,2024-01-18,181.81,199.21,100.0,0
G0000143,A00107,S001,2024-01-18,198.53,199.21,100.0,0
G0000144,A00108,S001,2024-01-18,197.26,199.21,100.0,0
G0000145,A00101,S001,2024-01-19,138.64,138.93,100.0,0
G0000146,A00102,S001,2024-01-19,140.85,138.93,100.0,0
G0000147,A00103,S001,2024-01-19,126.88,138.93,91.67,2
G0000148,A00104,S001,2024-01-19,139.26,138.93,100.0,0
G0000149,A00105,S001,2024-01-19,137.87,138.93,100.0,0
G0000150,A00106,S001,2024-01-19,139.67,138.93,100.0,0
G0000151,A00107,S001,2024-01-19,133.9,138.93,95.83,1
G0000152,A00108,S001,2024-01-19,126.23,138.93,91.67,2
G0000153,A00101,S001,2024-01-20,77.64,83.27,100.0,0
G0000154,A00102,S001,2024-01-20,84.0,83.27,100.0,0
G0000155,A00103,S001,2024-01-20,83.39,83.27,100.0,0
G0000156,A00104,S001,2024-01-20,77.65,83.27,91.67,2
G0000157,A00105,S001,2024-01-20,81.93,83.27,100.0,0
G0000158,A00106,S001,2024-01-20,84.14,83.27,100.0,0
G0000159,A00107,S001,2024-01-20,78.03,83.27,95.83,1
G0000160,A00108,S001,2024-01-20,83.51,83.27,100.0,0
G0000161,A00101,S001,2024-01-21,172.44,172.75,100.0,0
G0000162,A00102,S001,2024-01-21,174.32,172.75,100.0,0
G0000163,A00103,S001,2024-01-21,171.47,172.75,100.0,0
G0000164,A00104,S001,2024-01-21,174.6,172.75,100.0,0
G0000165,A00105,S001,2024-01-21,167.22,172.75,95.83,1
G0000166,A00106,S001,2024-01-21,139.69,172.75,100.0,0
G0000167,A00107,S001,2024-01-21,167.52,172.75,95.83,1
G0000168,A00108,S001,2024-01-21,139.54,172.75,100.0,0
G0000169,A00101,S001,2024-01-22,316.95,317.11,100.0,0
G0000170,A00102,S001,2024-01-22,292.8,317.11,100.0,0
G0000171,A00103,S001,2024-01-22,318.85,317.11,100.0,0
G0000172,A00104,S001,2024-01-22,317.48,317.11,100.0,0
G0000173,A00105,S001,2024-01-22,290.72,317.11,100.0,0
G0000174,A00106,S001,2024-01-22,318.12,317.11,100.0,0
G0000175,A00107,S001,2024-01-22,205.06,317.11,100.0,0
G0000176,A00108,S001,2024-01-22,318.2,317.11,100.0,0
G0000177,A00101,S001,2024-01-23,199.15,198.92,100.0,0
G0000178,A00102,S001,2024-01-23,199.63,198.92,100.0,0
G0000179,A00103,S001,2024-01-23,199.49,198.92,100.0,0
G0000180,A00104,S001,2024-01-23,198.55,198.92,100.0,0
G0000181,A00105,S001,2024-01-23,197.88,198.92,100.0,0
G0000182,A00106,S001,2024-01-23,198.77,198.92,100.0,0
G0000183,A00107,S001,2024-01-23,199.04,198.92,100.0,0
G0000184,A00108,S001,2024-01-23,197.23,198.92,100.0,0
G0000185,A00101,S001,2024-01-24,99.44,101.28,100.0,0
G0000186,A00102,S001,2024-01-24,101.97,101.28,100.0,0
G0000187,A00103,S001,2024-01-24,92.39,101.28,100.0,0
G0000188,A00104,S001,2024-01-24,102.25,101.28,100.0,0
G0000189,A00105,S001,2024-01-24,93.96,101.28,100.0,0
G0000190,A00106,S001,2024-01-24,100.57,101.28,100.0,0
G0000191,A00107,S001,2024-01-24,100.52,101.28,100.0,0
G0000192,A00108,S001,2024-01-24,98.28,101.28,95.83,1
G0000193,A00101,S001,2024-01-25,173.47,187.5,100.0,0
G0000194,A00102,S001,2024-01-25,188.38,187.5,100.0,0
G0000195,A00103,S001,2024-01-25,187.78,187.5,100.0,0
G0000196,A00104,S001,2024-01-25,149.35,187.5,100.0,0
G0000197,A00105,S001,2024-01-25,188.46,187.5,100.0,0
G0000198,A00106,S001,2024-01-25,186.06,187.5,100.0,0
G0000199,A00107,S001,2024-01-25,174.47,187.5,100.0,0
G0000200,A00108,S001,2024-01-25,170.8,187.5,100.0,0
G0000201,A00101,S001,2024-01-26,191.15,192.28,100.0,0
G0000202,A00102,S001,2024-01-26,194.01,192.28,100.0,0
G0000203,A00103,S001,2024-01-26,192.41,192.28,100.0,0
G0000204,A00104,S001,2024-01-26,192.42,192.28,100.0,0
G0000205,A00105,S001,2024-01-26,192.0,192.28,100.0,0
G0000206,A00106,S001,2024-01-26,176.99,192.28,100.0,0
G0000207,A00107,S001,2024-01-26,191.7,192.28,100.0,0
G0000208,A00108,S001,2024-01-26,153.66,192.28,100.0,0
G0000209,A00101,S001,2024-01-27,99.86,152.6,66.67,8
G0000210,A00102,S001,2024-01-27,153.15,152.6,100.0,0
G0000211,A00103,S001,2024-01-27,140.97,152.6,100.0,0
G0000212,A00104,S001,2024-01-27,103.31,152.6,83.33,4
G0000213,A00105,S001,2024-01-27,141.16,152.6,100.0,0
G0000214,A00106,S001,2024-01-27,122.82,152.6,100.0,0
G0000215,A00107,S001,2024-01-27,151.32,152.6,100.0,0
G0000216,A00108,S001,2024-01-27,151.18,152.6,100.0,0
G0000217,A00101,S001,2024-01-28,277.84,301.23,100.0,0
G0000218,A00102,S001,2024-01-28,302.39,301.23,100.0,0
G0000219,A00103,S001,2024-01-28,300.61,301.23,100.0,0
G0000220,A00104,S001,2024-01-28,301.65,301.23,100.0,0
G0000221,A00105,S001,2024-01-28,240.29,301.23,100.0,0
G0000222,A00106,S001,2024-01-28,300.14,301.23,100.0,0
G0000223,A00107,S001,2024-01-28,301.57,301.23,100.0,0
G0000224,A00108,S001,2024-01-28,300.22,301.23,100.0,0
G0000225,A00101,S001,2024-01-29,167.47,169.11,100.0,0
G0000226,A00102,S001,2024-01-29,167.52,169.11,100.0,0
G0000227,A00103,S001,2024-01-29,169.16,169.11,100.0,0
G0000228,A00104,S001,2024-01-29,169.5,169.11,100.0,0
G0000229,A00105,S001,2024-01-29,161.72,169.11,95.83,1
G0000230,A00106,S001,2024-01-29,171.08,169.11,100.0,0
G0000231,A00107,S001,2024-01-29,167.79,169.11,100.0,0
G0000232,A00108,S001,2024-01-29,167.78,169.11,100.0,0
G0000233,A00101,S001,2024-01-30,128.51,128.05,100.0,0
G0000234,A00102,S001,2024-01-30,127.63,128.05,100.0,0
G0000235,A00103,S001,2024-01-30,117.56,128.05,100.0,0
G0000236,A00104,S001,2024-01-30,128.42,128.05,100.0,0
