maintenance_id,asset_id,site_id,maintenance_date,maintenance_type,issue_category,downtime_hours,maintenance_cost
M00001,A00108,S001,2024-02-12,Corrective,Mechanical,8,6867.54
M00002,A00107,S001,2024-02-14,Preventive,Electrical,4,6677.55
M00003,A00102,S001,2024-02-28,Corrective,Electrical,4,4822.09
M00004,A00103,S001,2024-03-09,Corrective,Electrical,2,1652.78
M00005,A00101,S001,2024-03-10,Inspection,Software,8,2302.61
M00006,A00102,S001,2024-03-16,Preventive,Panel Cleaning,4,2224.93
M00007,A00104,S001,2024-03-20,Inspection,Blade Inspection,6,1960.6
M00008,A00102,S001,2024-03-21,Preventive,Panel Cleaning,12,1298.49
M00009,A00105,S001,2024-03-23,Preventive,Panel Cleaning,12,1255.61
M00010,A00107,S001,2024-03-28,Preventive,Electrical,2,4201.85
M00011,A00104,S001,2024-03-31,Inspection,Blade Inspection,8,6002.43
M00012,A00104,S001,2024-04-12,Corrective,Mechanical,8,4232.21
M00013,A00108,S001,2024-04-21,Inspection,Mechanical,4,5910.04
M00014,A00106,S001,2024-05-26,Preventive,Software,8,5651.39
M00015,A00101,S001,2024-06-24,Corrective,Software,6,6373.46
M00016,A00103,S001,2024-06-28,Preventive,Electrical,6,5527.22
M00017,A00106,S001,2024-07-05,Preventive,Panel Cleaning,2,1226.53
M00018,A00105,S001,2024-07-06,Corrective,Mechanical,12,6419.05
M00019,A00101,S001,2024-07-13,Preventive,Mechanical,2,4169.14
M00020,A00103,S001,2024-07-30,Preventive,Software,12,4054.45
M00021,A00105,S001,2024-08-10,Inspection,Electrical,2,5135.75
M00022,A00106,S001,2024-08-28,Corrective,Blade Inspection,12,6983.68
M00023,A00101,S001,2024-10-09,Corrective,Mechanical,8,6330.47
M00024,A00104,S001,2024-10-14,Corrective,Mechanical,2,2189.22
M00025,A00103,S001,2024-11-09,Preventive,Software,2,2849.7
M00026,A00104,S001,2024-11-21,Inspection,Mechanical,12,7112.35
M00027,A00108,S001,2024-12-23,Corrective,Panel Cleaning,2,1505.6
M00028,A00106,S001,2024-12-27,Preventive,Mechanical,2,3600.17
M00029,A00101,S001,2024-12-31,Inspection,Panel Cleaning,2,7934.87
M00030,A00207,S002,2024-01-04,Corrective,Electrical,8,3090.14
M00031,A00209,S002,2024-02-22,Preventive,Panel Cleaning,12,5389.62
M00032,A00201,S002,2024-03-01,Inspection,Software,8,3005.62
M00033,A00203,S002,2024-03-19,Corrective,Software,12,3746.28
M00034,A00206,S002,2024-03-27,Inspection,Mechanical,12,2950.37
M00035,A00201,S002,2024-03-29,Preventive,Software,4,6109.97
M00036,A00206,S002,2024-04-02,Inspection,Blade Inspection,12,1924.65
M00037,A00210,S002,2024-04-04,Preventive,Electrical,6,2997.63
M00038,A00210,S002,2024-04-09,Preventive,Blade Inspection,12,5227.06
M00039,A00205,S002,2024-04-11,Corrective,Blade Inspection,6,7815.71
M00040,A00204,S002,2024-04-13,Preventive,Electrical,12,4524.36
M00041,A00207,S002,2024-04-20,Inspection,Mechanical,8,4757.88
M00042,A00210,S002,2024-04-23,Inspection,Panel Cleaning,8,6135.73
M00043,A00204,S002,2024-04-24,Corrective,Electrical,6,4188.64
M00044,A00201,S002,2024-04-29,Corrective,Blade Inspection,2,5553.02
M00045,A00201,S002,2024-04-30,Preventive,Electrical,4,3229.84
M00046,A00203,S002,2024-05-20,Corrective,Blade Inspection,12,1718.05
M00047,A00208,S002,2024-05-22,Preventive,Mechanical,6,6578.8
M00048,A00206,S002,2024-05-25,Preventive,Mechanical,6,2731.18
M00049,A00203,S002,2024-06-06,Corrective,Blade Inspection,4,2209.65
M00050,A00204,S002,2024-06-24,Corrective,Electrical,4,995.79
M00051,A00210,S002,2024-07-04,Inspection,Software,6,4149.19
M00052,A00202,S002,2024-07-06,Inspection,Panel Cleaning,8,4561.22
M00053,A00206,S002,2024-07-16,Preventive,Electrical,6,7197.35
M00054,A00210,S002,2024-08-10,Inspection,Mechanical,2,6541.52
M00055,A00207,S002,2024-08-17,Inspection,Software,2,2816.97
M00056,A00202,S002,2024-08-21,Corrective,Mechanical,12,5959.78
M00057,A00209,S002,2024-08-31,Inspection,Electrical,4,5465.37
M00058,A00209,S002,2024-09-03,Inspection,Software,12,6193.54
M00059,A00207,S002,2024-09-06,Corrective,Electrical,8,6108.13
M00060,A00203,S002,2024-09-09,Inspection,Software,12,6939.47
M00061,A00207,S002,2024-09-12,Corrective,Electrical,2,5027.01
M00062,A00204,S002,2024-09-18,Preventive,Software,12,3903.47
M00063,A00207,S002,2024-09-24,Inspection,Panel Cleaning,6,2731.68
M00064,A00204,S002,2024-10-11,Preventive,Electrical,12,1299.07
M00065,A00202,S002,2024-10-23,Preventive,Software,2,1392.61
M00066,A00205,S002,2024-11-04,Inspection,Mechanical,8,508.81
M00067,A00201,S002,2024-11-05,Inspection,Panel Cleaning,2,6614.32
M00068,A00206,S002,2024-12-06,Inspection,Blade Inspection,6,2902.89
M00069,A00204,S002,2024-12-22,Preventive,Electrical,8,3387.47
M00070,A00204,S002,2024-12-25,Corrective,Electrical,4,3595.24
M00071,A00208,S002,2024-12-28,Preventive,Blade Inspection,4,1990.41
M00072,A00303,S003,2024-01-12,Preventive,Panel Cleaning,12,6192.53
M00073,A00308,S003,2024-01-13,Corrective,Software,2,6872.97
M00074,A00305,S003,2024-01-15,Preventive,Blade Inspection,12,7779.07
M00075,A00305,S003,2024-01-16,Preventive,Electrical,2,3510.9
M00076,A00308,S003,2024-01-17,Corrective,Mechanical,2,7786.03
M00077,A00306,S003,2024-01-26,Preventive,Blade Inspection,6,5642.45
M00078,A00304,S003,2024-02-01,Preventive,Electrical,2,1310.54
M00079,A00308,S003,2024-03-24,Inspection,Electrical,6,5203.25
M00080,A00308,S003,2024-03-26,Corrective,Blade Inspection,6,1728.62
M00081,A00307,S003,2024-03-31,Corrective,Electrical,2,6890.75
M00082,A00303,S003,2024-04-25,Preventive,Mechanical,4,7448.12
M00083,A00304,S003,2024-04-26,Inspection,Software,6,7908.0
M00084,A00301,S003,2024-04-30,Preventive,Software,6,4694.3
M00085,A00306,S003,2024-05-10,Preventive,Blade Inspection,12,1041.69
