price_id,price_date,region,market_price_per_mwh
P00001,2024-01-01,Scotland,68.09
P00002,2024-01-01,England,93.5
P00003,2024-01-01,Wales,85.43
P00004,2024-01-02,Scotland,94.24
P00005,2024-01-02,England,94.57
P00006,2024-01-02,Wales,79.71
P00007,2024-01-03,Scotland,70.87
P00008,2024-01-03,England,90.88
P00009,2024-01-03,Wales,88.73
P00010,2024-01-04,Scotland,81.71
P00011,2024-01-04,England,79.37
P00012,2024-01-04,Wales,76.1
P00013,2024-01-05,Scotland,72.36
P00014,2024-01-05,England,99.74
P00015,2024-01-05,Wales,90.91
P00016,2024-01-06,Scotland,92.8
P00017,2024-01-06,England,90.17
P00018,2024-01-06,Wales,79.19
P00019,2024-01-07,Scotland,71.02
P00020,2024-01-07,England,83.8
P00021,2024-01-07,Wales,92.6
P00022,2024-01-08,Scotland,89.78
P00023,2024-01-08,England,80.47
P00024,2024-01-08,Wales,72.5
P00025,2024-01-09,Scotland,83.32
P00026,2024-01-09,England,76.13
P00027,2024-01-09,Wales,85.76
P00028,2024-01-10,Scotland,90.03
P00029,2024-01-10,England,100.41
P00030,2024-01-10,Wales,80.38
P00031,2024-01-11,Scotland,71.4
P00032,2024-01-11,England,91.81
P00033,2024-01-11,Wales,91.56
P00034,2024-01-12,Scotland,72.46
P00035,2024-01-12,England,88.25
P00036,2024-01-12,Wales,82.38
P00037,2024-01-13,Scotland,94.04
P00038,2024-01-13,England,99.08
P00039,2024-01-13,Wales,86.39
P00040,2024-01-14,Scotland,86.63
P00041,2024-01-14,England,93.25
P00042,2024-01-14,Wales,76.77
P00043,2024-01-15,Scotland,86.14
P00044,2024-01-15,England,84.08
P00045,2024-01-15,Wales,90.29
P00046,2024-01-16,Scotland,80.19
P00047,2024-01-16,England,80.69
P00048,2024-01-16,Wales,67.73
P00049,2024-01-17,Scotland,68.57
P00050,2024-01-17,England,88.96
P00051,2024-01-17,Wales,81.89
P00052,2024-01-18,Scotland,68.19
P00053,2024-01-18,England,93.11
P00054,2024-01-18,Wales,67.59
P00055,2024-01-19,Scotland,69.82
P00056,2024-01-19,England,74.85
P00057,2024-01-19,Wales,74.92
P00058,2024-01-20,Scotland,81.88
P00059,2024-01-20,England,81.52
