weather_id,site_id,weather_date,avg_temperature_c,wind_speed_mps,solar_irradiance_kwh_m2,rainfall_mm
W00001,S001,2024-01-01,13.28,9.27,3.57,5.12
W00002,S001,2024-01-02,4.21,7.83,2.25,4.92
W00003,S001,2024-01-03,3.93,6.96,1.67,6.98
W00004,S001,2024-01-04,4.5,9.95,2.2,9.26
W00005,S001,2024-01-05,8.75,5.9,2.18,4.77
W00006,S001,2024-01-06,7.31,3.86,2.46,0
W00007,S001,2024-01-07,8.04,7.99,2.19,1.65
W00008,S001,2024-01-08,8.01,7.26,1.68,1.55
W00009,S001,2024-01-09,4.57,8.72,1.93,0
W00010,S001,2024-01-10,7.83,5.37,0.1,4.56
W00011,S001,2024-01-11,4.69,6.33,2.64,1.56
W00012,S001,2024-01-12,1.06,4.68,0.98,10.24
W00013,S001,2024-01-13,4.38,8.57,2.61,3.19
W00014,S001,2024-01-14,2.61,9.28,2.27,1.06
W00015,S001,2024-01-15,6.1,5.29,2.27,2.62
W00016,S001,2024-01-16,0.63,7.95,0.96,1.9
W00017,S001,2024-01-17,19.03,8.7,1.75,5.11
W00018,S001,2024-01-18,7.91,8.93,1.05,9.01
W00019,S001,2024-01-19,9.4,7.45,3.35,7.65
W00020,S001,2024-01-20,11.82,5.77,2.32,2.23
W00021,S001,2024-01-21,6.99,8.31,2.36,2.81
W00022,S001,2024-01-22,5.99,11.26,2.08,0
W00023,S001,2024-01-23,13.04,8.92,3.83,2.06
W00024,S001,2024-01-24,7.78,6.37,2.92,1.36
W00025,S001,2024-01-25,8.26,8.66,1.5,5.82
W00026,S001,2024-01-26,11.58,8.77,2.23,6.79
W00027,S001,2024-01-27,7.97,7.81,1.56,1.05
W00028,S001,2024-01-28,5.04,10.98,0.54,7.41
W00029,S001,2024-01-29,7.61,8.22,2.98,0.24
W00030,S001,2024-01-30,-0.72,7.16,3.53,9.86
W00031,S001,2024-01-31,7.13,10.07,2.19,1.57
W00032,S001,2024-02-01,2.58,6.06,1.53,0
W00033,S001,2024-02-02,5.67,8.37,2.03,4.11
W00034,S001,2024-02-03,10.51,6.59,2.71,4.95
W00035,S001,2024-02-04,-0.86,7.03,1.53,2.83
